cycle chargeConsumedActive chargeConsumedIdle packetsgenerated PacketsReachedTheDAGROOT droppedNoRoute droppedNoTxCells droppedQueueFull droppedMacRetries idleListening AverageQueueDelay numTx numRxCells numTxCells aveHops
37 1263.3999999999999 3370.199999999992 2 0 0 0 0 0 137 42.0 10 4 4 0
38 1263.3999999999999 3468.5999999999917 2 0 0 0 0 0 141 42.0 10 4 4 0
39 1263.3999999999999 3566.9999999999914 2 0 0 0 0 0 145 42.0 10 4 4 0
40 1263.3999999999999 3665.399999999991 2 0 0 0 0 0 149 42.0 10 4 4 0
41 1263.3999999999999 3763.7999999999906 2 0 0 0 0 0 153 42.0 10 4 4 0
42 1263.3999999999999 3862.1999999999903 2 0 0 0 0 0 157 42.0 10 4 4 0
43 1263.3999999999999 3960.59999999999 2 0 0 0 0 0 161 42.0 10 4 4 0
44 1263.3999999999999 4058.9999999999895 2 0 0 0 0 0 165 42.0 10 4 4 0
45 1263.3999999999999 4157.3999999999905 2 0 0 0 0 0 169 42.0 10 4 4 0
46 1263.3999999999999 4255.799999999992 2 0 0 0 0 0 173 42.0 10 4 4 0
47 1263.3999999999999 4354.199999999993 2 0 0 0 0 0 177 42.0 10 4 4 0
48 1263.3999999999999 4452.599999999995 2 0 0 0 0 0 181 42.0 10 4 4 0
49 1263.3999999999999 4550.999999999996 2 0 0 0 0 0 185 42.0 10 4 4 0
50 1263.3999999999999 4649.399999999998 2 0 0 0 0 0 189 42.0 10 4 4 0
51 1263.3999999999999 4747.799999999999 2 0 0 0 0 0 193 42.0 10 4 4 0
52 1263.3999999999999 4846.200000000001 2 0 0 0 0 0 197 42.0 10 4 4 0
53 1263.3999999999999 4944.600000000002 2 0 0 0 0 0 201 42.0 10 4 4 0
54 1263.3999999999999 5043.000000000004 2 0 0 0 0 0 205 42.0 10 4 4 0
55 1263.3999999999999 5141.400000000005 2 0 0 0 0 0 209 42.0 10 4 4 0
56 1263.3999999999999 5239.800000000007 2 0 0 0 0 0 213 42.0 10 4 4 0
57 1263.3999999999999 5338.200000000008 2 0 0 0 0 0 217 42.0 10 4 4 0
58 1263.3999999999999 5436.6000000000095 2 0 0 0 0 0 221 42.0 10 4 4 0
59 1263.3999999999999 5535.000000000011 2 0 0 0 0 0 225 42.0 10 4 4 0
60 1263.3999999999999 5633.400000000012 2 0 0 0 0 0 229 42.0 10 4 4 0
61 1263.3999999999999 5731.800000000014 2 0 0 0 0 0 233 42.0 10 4 4 0
62 1263.3999999999999 5830.200000000015 2 0 0 0 0 0 237 42.0 10 4 4 0
63 1263.3999999999999 5928.600000000017 2 0 0 0 0 0 241 42.0 10 4 4 0
64 1263.3999999999999 6027.000000000018 2 0 0 0 0 0 245 42.0 10 4 4 0
65 1263.3999999999999 6125.40000000002 2 0 0 0 0 0 249 42.0 10 4 4 0
66 1263.3999999999999 6223.800000000021 2 0 0 0 0 0 253 42.0 10 4 4 0
67 1263.3999999999999 6322.200000000023 2 0 0 0 0 0 257 42.0 10 4 4 0
68 1263.3999999999999 6420.600000000024 2 0 0 0 0 0 261 42.0 10 4 4 0
