## dioPeriod = 1.0
## burstTimestamp = 20
## minRssi = -97
## numMotes = 20
## otfHousekeepingPeriod = 5.0
## _init = True
## sixtopNoRemoveWorstCell = 0
## simDataDir = simData
## numChans = 16
## slotframeLength = 101
## squareSide = 2.0
## cpuID = None
## sixtopPdrThreshold = 1.5
## pkPeriod = 1.0
## sixtopHousekeepingPeriod = 1.0
## sixtopNoHousekeeping = 0
## pkPeriodVar = 0.05
## numCyclesPerRun = 100
## startTime = 1512045140.05
## slotDuration = 0.9
## numRuns = 2
## combinationKeys = ['numMotes', 'otfThreshold']
## gui = True
## numPacketsBurst = 5
## otfThreshold = 1
## noInterference = 0
## slotLength = 3000


# appGenerated appReachesDagroot appRelayed aveHops aveLatency aveQueueDelay awake chargeConsumed collidedTxs cycle droppedAppFailedEnqueue droppedMacRetries droppedNoRoute droppedNoTxCells droppedQueueFull effectiveCollidedTxs idle numRxCells numTx numTxCells otfAdd otfRemove probableCollisions rplChurnParentSet rplChurnPrefParent rplChurnRank rplRxDIO rplTxDIO runNum scheduleCollisions sleep topRxRelocatedCells topTxRelocatedBundles topTxRelocatedCells txQueueFill
          6160              2682          0   1.000    106.899      1451.707 14572     740152.980           0    75                    2611               704              0                0             2611                    0 5326         16  6669         16   6803         3                  0                19                  7          757    73055     8540      0                  0 57601                   0                     0                   0         163
          6240              2715          0   1.000    106.463      1451.467 14650     749707.620           0    76                    2649               713              0                0             2649                    0 5352         16  6756         16   6893         3                  0                19                  7          763    74081     8660      0                  0 57899                   0                     0                   0         163
          6320              2750          0   1.000    106.428      1453.446 14851     759545.700           0    77                    2686               722              0                0             2686                    0 5432         16  6845         16   6983         3                  0                19                  7          763    74936     8760      0                  0 58763                   0                     0                   0         162
          6400              2788          0   1.000    106.915      1456.203 15058     769361.840           0    78                    2721               730              0                0             2721                    0 5513         16  6932         16   7072         3                  0                19                  7          766    75962     8880      0                  0 59540                   0                     0                   0         161
          6480              2825          0   1.000    107.562      1456.791 15242     779174.880           0    79                    2755               738              0                0             2755                    0 5580         16  7019         16   7161         3                  0                19                  7          770    76817     8980      0                  0 60246                   0                     0                   0         162
          6560              2860          0   1.000    107.569      1456.846 15438     788898.940           0    80                    2792               746              0                0             2792                    0 5655         16  7107         16   7251         3                  0                19                  7          775    77843     9100      0                  0 60929                   0                     0                   0         162
          6656              2898          0   1.000    108.189      1452.049 15669     798715.080           0    81                    2830               759              0                0             2830                    0 5739         16  7194         16   7341         3                  0                19                  7          779    78869     9220      0                  0 61741                   0                     0                   0         169
          6736              2933          0   1.000    107.988      1452.046 15920     808553.160           0    82                    2862               772              0                0             2862                    0 5842         16  7283         16   7435         3                  0                19                  7          781    79724     9320      0                  0 62911                   0                     0                   0         169
          6816              2971          0   1.000    108.198      1448.275 16071     818369.300           0    83                    2897               780              0                0             2897                    0 5898         16  7370         16   7525         3                  0                19                  7          786    80750     9440      0                  0 63468                   0                     0                   0         168
          6896              3005          0   1.000    107.880      1446.601 16123     828155.080           0    84                    2935               788              0                0             2935                    0 5915         16  7459         16   7615         3                  0                19                  7          791    81605     9540      0                  0 63678                   0                     0                   0         168
          6976              3038          0   1.000    107.942      1446.220 16395     837709.720           0    85                    2971               797              0                0             2971                    0 6023         16  7546         16   7703         3                  0                19                  7          795    82631     9660      0                  0 64845                   0                     0                   0         170
          7056              3071          0   1.000    108.052      1446.629 16674     847199.540           0    86                    3007               806              0                0             3007                    0 6135         16  7632         16   7794         3                  0                19                  7          798    83657     9780      0                  0 65986                   0                     0                   0         172
          7136              3104          0   1.000    107.887      1448.040 16885     856933.020           0    87                    3046               815              0                0             3046                    0 6201         16  7721         16   7882         3                  0                19                  7          802    84512     9880      0                  0 66750                   0                     0                   0         171
          7216              3142          0   1.000    108.277      1450.277 17110     866813.980           0    88                    3083               823              0                0             3083                    0 6283         16  7809         16   7969         3                  0                19                  7          804    85538    10000      0                  0 67607                   0                     0                   0         168
          7296              3174          0   1.000    108.078      1451.501 17442     876405.740           0    89                    3121               835              0                0             3121                    0 6419         16  7897         16   8059         3                  0                19                  7          808    86393    10100      0                  0 69151                   0                     0                   0         166
          7376              3213          0   1.000    108.502      1455.173 17631     886428.420           0    90                    3153               848              0                0             3153                    0 6487         16  7986         16   8148         3                  0                19                  7          810    87419    10220      0                  0 69940                   0                     0                   0         162
          7456              3245          0   1.000    108.520      1457.663 17842     895930.760           0    91                    3187               856              0                0             3187                    0 6565         16  8073         16   8237         3                  0                19                  7          813    88445    10340      0                  0 70803                   0                     0                   0         168
          7536              3280          0   1.000    108.466      1458.946 18029     905768.840           0    92                    3225               865              0                0             3225                    0 6639         16  8162         16   8326         3                  0                19                  7          816    89300    10440      0                  0 71736                   0                     0                   0         166
          7616              3312          0   1.000    108.483      1462.027 18340     915336.000           0    93                    3263               873              0                0             3263                    0 6759         16  8250         16   8416         3                  0                19                  7          820    90326    10560      0                  0 72967                   0                     0                   0         168
          7696              3347          0   1.000    108.483      1463.671 18602     924995.240           0    94                    3300               883              0                0             3300                    0 6851         16  8337         16   8505         3                  0                19                  7          824    91352    10680      0                  0 73948                   0                     0                   0         166
          7776              3384          0   1.000    109.427      1471.674 18832     934937.920           0    95                    3335               891              0                0             3335                    0 6940         16  8426         16   8595         3                  0                19                  7          826    92207    10780      0                  0 74926                   0                     0                   0         166
