## dioPeriod = 1.0
## burstTimestamp = 20
## minRssi = -97
## numMotes = 18
## otfHousekeepingPeriod = 5.0
## sixtopNoRemoveWorstCell = 0
## simDataDir = simData
## numChans = 16
## slotframeLength = 101
## squareSide = 2.0
## cpuID = None
## sixtopPdrThreshold = 1.5
## pkPeriod = 1.0
## sixtopHousekeepingPeriod = 1.0
## sixtopNoHousekeeping = 0
## pkPeriodVar = 0.05
## numCyclesPerRun = 100
## startTime = 1511942738.79
## slotDuration = 0.9
## numRuns = 2
## combinationKeys = ['numMotes', 'otfThreshold']
## gui = True
## numPacketsBurst = 5
## otfThreshold = 1
## noInterference = 0
## slotLength = 3000


# appGenerated appReachesDagroot appRelayed aveHops aveLatency aveQueueDelay awake chargeConsumed collidedTxs cycle droppedAppFailedEnqueue droppedMacRetries droppedNoRoute droppedNoTxCells droppedQueueFull effectiveCollidedTxs idle numRxCells numTx numTxCells otfAdd otfRemove probableCollisions rplChurnParentSet rplChurnPrefParent rplChurnRank rplRxDIO rplTxDIO runNum scheduleCollisions sleep topRxRelocatedCells topTxRelocatedBundles topTxRelocatedCells txQueueFill
          4544               843          0   1.000    180.058      3440.691  6112     489014.300           0    55                    2749               743              0                0             2749                    0 2416         16  4960         16   1680         1                  0                17                  1          118    45289     5669      0                  0 35989                   0                     0                   0         209
          4624               858          0   1.000    180.766      3447.088  6447     497936.020           0    56                    2803               758              0                0             2803                    0 2564         16  5051         16   1708         1                  0                17                  1          118    46004     5759      0                  0 38307                   0                     0                   0         205
          4704               869          0   1.000    179.800      3448.407  6736     506340.060           0    57                    2857               777              0                0             2857                    0 2703         16  5138         16   1737         1                  0                17                  1          120    46862     5867      0                  0 40354                   0                     0                   0         201
          4784               886          0   1.000    181.175      3453.892  7065     515187.540           0    58                    2902               791              0                0             2902                    0 2843         16  5227         16   1767         1                  0                17                  1          120    47720     5975      0                  0 42560                   0                     0                   0         205
          4864               901          0   1.000    182.535      3466.065  7362     524044.440           0    59                    2949               803              0                0             2949                    0 2985         16  5317         16   1796         1                  0                17                  1          123    48435     6065      0                  0 44570                   0                     0                   0         211
          4944               916          0   1.000    181.236      3467.046  7646     532787.320           0    60                    3004               816              0                0             3004                    0 3108         16  5406         16   1826         1                  0                17                  1          123    49293     6173      0                  0 46451                   0                     0                   0         208
          5037               934          0   1.000    182.275      3471.911  7818     541865.940           0    61                    3065               828              0                0             3065                    0 3192         16  5497         16   1857         1                  0                17                  1          123    50008     6263      0                  0 47814                   0                     0                   0         210
          5120               950          0   1.000    182.882      3476.995  8102     550531.480           0    62                    3118               840              0                0             3118                    0 3312         16  5584         16   1887         1                  0                17                  1          123    50866     6371      0                  0 49633                   0                     0                   0         212
          5200               965          0   1.000    181.852      3475.741  8307     559274.360           0    63                    3170               853              0                0             3170                    0 3401         16  5673         16   1916         1                  0                17                  1          124    51724     6479      0                  0 51009                   0                     0                   0         212
          5280               982          0   1.000    182.612      3487.191  8617     568171.040           0    64                    3223               865              0                0             3223                    0 3550         16  5762         16   1946         1                  0                17                  1          124    52439     6569      0                  0 53213                   0                     0                   0         210
